 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3,Area4,Mean4,Min4,Max4
1,955,143.679,14,1471,1091,231.661,1,1681,364,194.629,14,2511,3658,127.374,-4,1574
2,955,142.731,9,1445,1091,237.200,14,1904,364,178.951,9,2107,3658,126.733,1,1850
3,955,132.424,13,1205,1091,226.167,8,1884,364,176.514,17,2043,3658,125.038,11,1790
4,955,134.531,16,1573,1091,230.525,17,1851,364,179.904,14,2582,3658,123.598,17,1347
5,955,138.991,20,1350,1091,224.764,18,1380,364,188.137,24,2363,3658,122.139,13,1637
6,955,134.308,18,1327,1091,264.971,19,1830,364,172.945,20,2143,3658,120.470,18,1933
7,955,152.961,19,1527,1091,243.890,15,1807,364,169.854,15,1822,3658,119.661,14,1453
8,955,156.509,16,1073,1091,237.412,10,1604,364,168.264,11,1930,3658,119.429,12,1743
9,955,139.982,-9,1071,1091,227.782,0,1661,364,168.247,11,2070,3658,121.369,-1,1703
10,955,134.361,10,1354,1091,230.915,5,1699,364,181.044,12,1946,3658,116.370,-16,1700
11,955,145.479,-4,1182,1091,224.953,4,1879,364,175.538,9,1674,3658,119.092,-5,1465
12,955,138.350,-25,1216,1091,241.417,-35,1634,364,185.640,-2,2229,3658,118.393,-36,1609
13,955,136.111,-24,1282,1091,233.117,-79,1486,364,181.096,-25,1930,3658,119.126,-29,1678
14,955,139.181,-12,1549,1091,228.893,-46,1514,364,181.332,0,2286,3658,119.630,-126,1574
15,955,180.823,-16,1427,1091,244.750,-5,1709,364,175.519,-60,2106,3658,118.233,-23,1429
16,955,158.408,-73,1373,1091,229.425,-17,1214,364,177.541,-127,2385,3658,115.410,-90,1392
17,955,146.514,-18,1082,1091,258.550,-42,1577,364,166.393,-17,2181,3658,115.373,-66,1518
18,955,133.635,-61,1154,1091,252.907,-38,1530,364,179.926,-9,2183,3658,117.147,-83,1751
19,955,132.323,-87,1194,1091,260.930,-31,1569,364,168.670,1,1744,3658,113.413,-64,1301
20,955,132.461,-23,1100,1091,241.487,-22,1634,364,168.816,-27,1824,3658,116.474,-53,1632
21,955,153.718,-17,1114,1091,241.690,-28,1364,364,174.805,-19,1928,3658,113.180,-90,1561
22,955,130.820,-31,960,1091,233.806,-68,1541,364,166.624,-37,2107,3658,114.618,-91,1281
23,955,132.000,-42,979,1091,247.906,-47,1296,364,177.783,-10,1957,3658,113.419,-50,1334
24,955,153.648,-56,1302,1091,231.451,-25,1510,364,182.541,-88,2232,3658,117.763,-57,1535
25,955,152.175,-61,1080,1091,245.491,-112,1658,364,178.720,-193,1782,3658,113.894,-89,1700
26,955,153.603,-103,1117,1091,247.841,-53,1516,364,176.272,-50,1561,3658,117.887,-109,1569
27,955,141.435,-36,1134,1091,232.446,-111,2008,364,173.453,-96,2401,3658,109.472,-52,1460
28,955,138.506,-64,926,1091,216.956,-34,1320,364,178.286,-44,1818,3658,112.004,-83,1677
29,955,150.064,-62,1428,1091,226.430,-26,1270,364,171.448,-44,1970,3658,113.736,-55,1861
30,955,137.667,-23,883,1091,231.012,-67,1491,364,169.201,-43,1944,3658,113.705,-104,1317
31,955,153.676,-16,973,1091,225.298,-30,1519,364,170.140,-85,1846,3658,110.331,-31,1506
32,955,141.301,-108,1103,1091,238.225,-40,1348,364,167.368,-79,2078,3658,112.084,-114,1654
33,955,130.528,-58,1011,1091,241.166,-61,1360,364,173.618,-47,1921,3658,111.839,-167,1497
34,955,134.613,-101,1108,1091,227.262,-41,1537,364,172.574,-50,1953,3658,114.425,-103,1764
35,955,133.521,-60,927,1091,224.836,-25,1449,364,159.734,-91,1973,3658,114.118,-87,1705
36,955,131.821,-42,1083,1091,240.931,-23,1927,364,175.162,-230,2322,3658,112.624,-52,1612
37,955,161.701,-87,1092,1091,250.395,-8,1643,364,167.294,-69,2001,3658,110.422,-28,1314
38,955,144.810,-106,1124,1091,230.119,-16,1920,364,171.780,-20,1925,3658,112.267,-69,1458
39,955,147.966,-39,1013,1091,236.374,-29,1328,364,172.157,-18,1759,3658,111.161,-72,1311
